id;nazov;mestska_cast;ucel;faza;navrhovatel;dokumentov;suradnice;poznamka;hladat_v_mapach;spis
centrum-obchodu-sluzieb-bratislava-raca;Centrum obchodu a služieb Bratislava - Rača;Bratislava - Rača;Obchod a služby;posúdené;Queen Investment s.r.o., Banská Bystrica;1;;;https://www.google.com/maps/search/Centrum%20obchodu%20a%20slu%C5%BEieb%20Bratislava%20-%20Ra%C4%8Da%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/centrum-obchodu-sluzieb-bratislava-raca
centrum-odpadoveho-hospodarstva-zabi-majer;Centrum odpadového hospodárstva Žabí Majer;Bratislava - Rača;Výroba a sklady;zámer;Ekoslužby s.r.o., Klincová 35;5;;;https://www.google.com/maps/search/Centrum%20odpadov%C3%A9ho%20hospod%C3%A1rstva%20%C5%BDab%C3%AD%20Majer%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/centrum-odpadoveho-hospodarstva-zabi-majer
flexi-hala-v-areali-logis-invest-bratislava;FLEXI HALA v areáli LOGIS INVEST, Bratislava;Bratislava - Rača;Výroba a sklady;posúdené;LOGIS Invest, a.s., Malý trh 2/A;5;;;https://www.google.com/maps/search/FLEXI%20HALA%20v%20are%C3%A1li%20LOGIS%20INVEST%2C%20Bratislava%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/flexi-hala-v-areali-logis-invest-bratislava
hroznovy-sad-bratislava-m-c-raca;Hroznový sad Bratislava, m. č. Rača;Bratislava - Rača;Vybavenosť;posúdené;Hroznový sad, s.r.o., Hraničná 24A;14;;;https://www.google.com/maps/search/Hroznov%C3%BD%20sad%20Bratislava%2C%20m.%20%C4%8D.%20Ra%C4%8Da%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/hroznovy-sad-bratislava-m-c-raca
lbg-arena;LBG aréna;Bratislava - Rača;Vybavenosť;posúdené;LBG aréna, s.r.o., Pribinova 25;6;;;https://www.google.com/maps/search/LBG%20ar%C3%A9na%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/lbg-arena
logisticke-centrum-bratislava-raca;Logistické centrum Bratislava - Rača;Bratislava - Rača;Výroba a sklady;posúdené;UNISON, s.r.o., Laurinská 18;14;;;https://www.google.com/maps/search/Logistick%C3%A9%20centrum%20Bratislava%20-%20Ra%C4%8Da%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/logisticke-centrum-bratislava-raca
logisticky-park-doas;Logistický park DOAS;Bratislava - Rača;Výroba a sklady;posúdené;D O A S, a. s.;8;;;https://www.google.com/maps/search/Logistick%C3%BD%20park%20DOAS%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/logisticky-park-doas
modernizacia-udrzbovej-zakladne-3-etapa-vozovna-krasnany;MODERNIZÁCIA ÚDRŽBOVEJ ZÁKLADNE - 3. ETAPA VOZOVŇA KRASŇANY;Bratislava - Rača;Doprava;posúdené;Dopravný podnik Bratislava, akciová spoločnosť;7;;;https://www.google.com/maps/search/MODERNIZ%C3%81CIA%20%C3%9ADR%C5%BDBOVEJ%20Z%C3%81KLADNE%20-%203.%20ETAPA%20VOZOV%C5%87A%20KRAS%C5%87ANY%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/modernizacia-udrzbovej-zakladne-3-etapa-vozovna-krasnany
maloobchodne-zariadenie-pre-zakladnu-obsluhu-uzemia;Maloobchodné zariadenie pre základnú obsluhu územia;Bratislava - Rača;Bývanie;posúdené;TLD, s.r.o, Bajkalská 25 A;30;;;https://www.google.com/maps/search/Maloobchodn%C3%A9%20zariadenie%20pre%20z%C3%A1kladn%C3%BA%20obsluhu%20%C3%BAzemia%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/maloobchodne-zariadenie-pre-zakladnu-obsluhu-uzemia
mobilne-drviace-triediace-zariadenia-;Mobilné drviace a triediace zariadenia;Bratislava - Rača;Technická infraštruktúra;posúdené;Hollý, s.r.o., Starhradská 8;6;;;https://www.google.com/maps/search/Mobiln%C3%A9%20drviace%20a%20triediace%20zariadenia%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/mobilne-drviace-triediace-zariadenia-
