istota;projekt;znamka;majitel;cislo;firma;skupina;zhoda_slov;projekt_id
stredna;RETAIL PARK BORY;BORY RETAIL WAREHOUSING;Bory , a. s.;552-2016;Bory;Penta Real Estate;2;retail-park-bory
stredna;RETAIL PARK BORY;BORY RETAIL ZONE;Bory , a. s.;1055-2015;Bory;Penta Real Estate;2;retail-park-bory
stredna;Revitalizácia a transformácia časti brownfieldu PALMA;PALMA UPTOWN OFFICES;CORWIN SK a.s.;947-2023;CG SK SPV 1 s.r.o.;Corwin;1;revitalizacia-transformacia-casti-brownfieldu-palma
stredna;Revitalizácia a transformácia časti brownfieldu PALMA;PALMA NAJPRV ĽUDIA;CORWIN SK a.s.;1329-2022;CG SK SPV 1 s.r.o.;Corwin;1;revitalizacia-transformacia-casti-brownfieldu-palma
stredna;SHARK Centrum, Bratislava;STEIGER SHARK COMPANY;SHARK COMPANY, s.r.o.;755-2006;SHARK Invest s.r.o.;;1;shark-centrum-bratislava
stredna;Supermarket BILLA Bratislava - Podunajské Biskupice;BILLA ľuďom;BILLA s.r.o.;1902-2016;BILLA Reality Slovensko spol. s.r.o.;;1;supermarket-billa-bratislava-podunajske-biskupice
stredna;TWIN CITY Autobusová stanica, Bratislava;STANICA NIVY;HB REAVIS Slovakia a. s.;5414-2015;Twin City a.s.;HB Reavis;1;twin-city-autobusova-stanica-bratislava
stredna;Zariadenie aeróbneho zhodnocovania odpadu;OLO Odvoz a likvidácia odpadu a.s.;Odvoz a likvidácia odpadu a.s . v skratke : OLO a.s .;3144-2021;Odvoz a likvidácia odpadu a.s.;;1;zariadenie-aerobneho-zhodnocovania-odpadu
navrh;Administratívna budova Panorama City V Business, Bratislava, Landererova ul.;TOWER 115 TAKES YOUR BUSINESS HIGHER;JTRE a.s.;5191-2015;Menolli;J&T Real Estate;1;administrativna-budova-panorama-city-v-business-bratislava-landererova
navrh;Areál pre distribúciu a prípravu liekov Bratislava;SOS LEKÁREŇ SKÚSENOSŤ + OCHOTA + SERIÓZNOSŤ;UNIMED , spol. s r.o.;1316-2014;UNIMED;;0;areal-pre-distribuciu-pripravu-liekov-bratislava
navrh;Auto Bavaria – Bory;Bory Nové Bloky - Bývajte pohodlne, v mestskom štýle.;Bory , a. s.;795-2026;Bory;Penta Real Estate;1;auto-bavaria-bory
navrh;Auto Bavaria – Bory;Bory Bývanie - Pohodlná štvrť pre pohodlný život;Bory , a. s.;376-2025;Bory;Penta Real Estate;1;auto-bavaria-bory
navrh;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";Bory Nové Bloky - Bývajte pohodlne, v mestskom štýle.;Bory , a. s.;795-2026;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
navrh;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";Bory Bývanie - Pohodlná štvrť pre pohodlný život;Bory , a. s.;376-2025;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
navrh;Bory bývanie 4A;Bory Nové Bloky - Bývajte pohodlne, v mestskom štýle.;Bory , a. s.;795-2026;Bory Home II s.r.o.;Penta Real Estate;1;bory-byvanie-4a
navrh;Bory bývanie 4A;Bory Bývanie - Pohodlná štvrť pre pohodlný život;Bory , a. s.;376-2025;Bory Home II s.r.o.;Penta Real Estate;1;bory-byvanie-4a
navrh;Bratislavské podhradie - Vydrica;VYDRICA Hlavné miesto Bratislavy;VYDRICA DEVELOPMENT, a.s.;705-2019;Vydrica a.s.;;1;bratislavske-podhradie-vydrica
navrh;Bratislavské podhradie - Vydrica;Made by Vydrica;VYDRICA DEVELOPMENT, a.s.;696-2019;Vydrica a.s.;;1;bratislavske-podhradie-vydrica
navrh;Bytové domy Bystrická;BANSKOBYSTRICKÁ REGIONÁLNA SPRÁVA CIEST;Banskobystrická regionálna správa ciest, a.s.;2080-2022;Bystrická;;0;bytove-domy-bystricka
navrh;Dostavba územia autobusovej stanice a prestavba areálu Kablo Bratislava, Mlynské Nivy, na mestské polyfunkčné územie Twin City;Nové Nivy by HB Reavis;HB Reavis Group a. s.;1842-2019;Twin City a.s.;HB Reavis;1;dostavba-uzemia-autobusovej-stanice-prestavba-arealu-kablo-bratislava-
navrh;Forum Business Center II., Bratislava;ALVY;Pressburg Urban Projects a. s.;2823-2025;Pressburg Urban Projects a.s.;HB Reavis;0;forum-business-center-ii-bratislava
